series,agegroup,sex,year,Time Code,population
"Population ages 00-04, female",ages 00-04,female,2011,YR2011,1945795
"Population ages 00-04, female",ages 00-04,female,2012,YR2012,1974284
"Population ages 00-04, female",ages 00-04,female,2013,YR2013,1978918
"Population ages 00-04, female",ages 00-04,female,2014,YR2014,1975189
"Population ages 00-04, female",ages 00-04,female,2015,YR2015,1972036
"Population ages 00-04, female",ages 00-04,female,2016,YR2016,1952286
"Population ages 00-04, female",ages 00-04,female,2017,YR2017,1934815
"Population ages 00-04, female",ages 00-04,female,2018,YR2018,1920537
"Population ages 00-04, female",ages 00-04,female,2019,YR2019,1908242
"Population ages 00-04, female",ages 00-04,female,2020,YR2020,1896206
"Population ages 00-04, female",ages 00-04,female,2021,YR2021,1869000
"Population ages 00-04, male",ages 00-04,male,1960,YR1960,2107361
"Population ages 00-04, male",ages 00-04,male,1961,YR1961,2240434
"Population ages 00-04, male",ages 00-04,male,1962,YR1962,2333842
"Population ages 00-04, male",ages 00-04,male,1963,YR1963,2388729
"Population ages 00-04, male",ages 00-04,male,1964,YR1964,2424299
"Population ages 00-04, male",ages 00-04,male,1965,YR1965,2456426
"Population ages 00-04, male",ages 00-04,male,1966,YR1966,2497688
"Population ages 00-04, male",ages 00-04,male,1967,YR1967,2500931
"Population ages 00-04, male",ages 00-04,male,1968,YR1968,2476800
"Population ages 00-04, male",ages 00-04,male,1969,YR1969,2434604
"Population ages 00-04, male",ages 00-04,male,1970,YR1970,2383962
"Population ages 00-04, male",ages 00-04,male,1971,YR1971,2306262
"Population ages 00-04, male",ages 00-04,male,1972,YR1972,2232353
"Population ages 00-04, male",ages 00-04,male,1973,YR1973,2160133
"Population ages 00-04, male",ages 00-04,male,1974,YR1974,2086800
"Population ages 00-04, male",ages 00-04,male,1975,YR1975,2010659
"Population ages 00-04, male",ages 00-04,male,1976,YR1976,1924376
"Population ages 00-04, male",ages 00-04,male,1977,YR1977,1854537
"Population ages 00-04, male",ages 00-04,male,1978,YR1978,1799563
"Population ages 00-04, male",ages 00-04,male,1979,YR1979,1760944
"Population ages 00-04, male",ages 00-04,male,1980,YR1980,1738796
"Population ages 00-04, male",ages 00-04,male,1981,YR1981,1736480
"Population ages 00-04, male",ages 00-04,male,1982,YR1982,1749724
"Population ages 00-04, male",ages 00-04,male,1983,YR1983,1776046
"Population ages 00-04, male",ages 00-04,male,1984,YR1984,1808600
"Population ages 00-04, male",ages 00-04,male,1985,YR1985,1841911
"Population ages 00-04, male",ages 00-04,male,1986,YR1986,1899804
"Population ages 00-04, male",ages 00-04,male,1987,YR1987,1929763
"Population ages 00-04, male",ages 00-04,male,1988,YR1988,1941298
"Population ages 00-04, male",ages 00-04,male,1989,YR1989,1947825
"Population ages 00-04, male",ages 00-04,male,1990,YR1990,1958346
"Population ages 00-04, male",ages 00-04,male,1991,YR1991,1958109
"Population ages 00-04, male",ages 00-04,male,1992,YR1992,1961122
"Population ages 00-04, male",ages 00-04,male,1993,YR1993,1965514
"Population ages 00-04, male",ages 00-04,male,1994,YR1994,1965263
"Population ages 00-04, male",ages 00-04,male,1995,YR1995,1955163
"Population ages 00-04, male",ages 00-04,male,1996,YR1996,1931983
"Population ages 00-04, male",ages 00-04,male,1997,YR1997,1904144
"Population ages 00-04, male",ages 00-04,male,1998,YR1998,1873353
"Population ages 00-04, male",ages 00-04,male,1999,YR1999,1843857
"Population ages 00-04, male",ages 00-04,male,2000,YR2000,1818322
"Population ages 00-04, male",ages 00-04,male,2001,YR2001,1786983
"Population ages 00-04, male",ages 00-04,male,2002,YR2002,1765562
"Population ages 00-04, male",ages 00-04,male,2003,YR2003,1754721
"Population ages 00-04, male",ages 00-04,male,2004,YR2004,1757207
"Population ages 00-04, male",ages 00-04,male,2005,YR2005,1774487
"Population ages 00-04, male",ages 00-04,male,2006,YR2006,1796855
"Population ages 00-04, male",ages 00-04,male,2007,YR2007,1836599
"Population ages 00-04, male",ages 00-04,male,2008,YR2008,1885888
"Population ages 00-04, male",ages 00-04,male,2009,YR2009,1932873
"Population ages 00-04, male",ages 00-04,male,2010,YR2010,1972136
"Population ages 00-04, male",ages 00-04,male,2011,YR2011,2037037
"Population ages 00-04, male",ages 00-04,male,2012,YR2012,2067380
"Population ages 00-04, male",ages 00-04,male,2013,YR2013,2073580
"Population ages 00-04, male",ages 00-04,male,2014,YR2014,2071060
"Population ages 00-04, male",ages 00-04,male,2015,YR2015,2068730
"Population ages 00-04, male",ages 00-04,male,2016,YR2016,2049855
"Population ages 00-04, male",ages 00-04,male,2017,YR2017,2031768
"Population ages 00-04, male",ages 00-04,male,2018,YR2018,2015968
"Population ages 00-04, male",ages 00-04,male,2019,YR2019,2002209
"Population ages 00-04, male",ages 00-04,male,2020,YR2020,1989511
"Population ages 00-04, male",ages 00-04,male,2021,YR2021,1960000
"Population ages 05-09, female",ages 05-09,female,1960,YR1960,1833973
"Population ages 05-09, female",ages 05-09,female,1961,YR1961,1807186
"Population ages 05-09, female",ages 05-09,female,1962,YR1962,1815832
"Population ages 05-09, female",ages 05-09,female,1963,YR1963,1857459
"Population ages 05-09, female",ages 05-09,female,1964,YR1964,1918815
"Population ages 05-09, female",ages 05-09,female,1965,YR1965,1978647
"Population ages 05-09, female",ages 05-09,female,1966,YR1966,2034904
"Population ages 05-09, female",ages 05-09,female,1967,YR1967,2103288
"Population ages 05-09, female",ages 05-09,female,1968,YR1968,2179020
"Population ages 05-09, female",ages 05-09,female,1969,YR1969,2251755
"Population ages 05-09, female",ages 05-09,female,1970,YR1970,2308943
"Population ages 05-09, female",ages 05-09,female,1971,YR1971,2349439
"Population ages 05-09, female",ages 05-09,female,1972,YR1972,2359393
"Population ages 05-09, female",ages 05-09,female,1973,YR1973,2336831
"Population ages 05-09, female",ages 05-09,female,1974,YR1974,2290363
"Population ages 05-09, female",ages 05-09,female,1975,YR1975,2235448
"Population ages 05-09, female",ages 05-09,female,1976,YR1976,2183272
"Population ages 05-09, female",ages 05-09,female,1977,YR1977,2116603
"Population ages 05-09, female",ages 05-09,female,1978,YR1978,2039225
"Population ages 05-09, female",ages 05-09,female,1979,YR1979,1957916
"Population ages 05-09, female",ages 05-09,female,1980,YR1980,1880041
"Population ages 05-09, female",ages 05-09,female,1981,YR1981,1811935
"Population ages 05-09, female",ages 05-09,female,1982,YR1982,1751153
"Population ages 05-09, female",ages 05-09,female,1983,YR1983,1702906
"Population ages 05-09, female",ages 05-09,female,1984,YR1984,1668569
"Population ages 05-09, female",ages 05-09,female,1985,YR1985,1645846
"Population ages 05-09, female",ages 05-09,female,1986,YR1986,1638134
"Population ages 05-09, female",ages 05-09,female,1987,YR1987,1651034
"Population ages 05-09, female",ages 05-09,female,1988,YR1988,1683438
"Population ages 05-09, female",ages 05-09,female,1989,YR1989,1727191
"Population ages 05-09, female",ages 05-09,female,1990,YR1990,1768822
"Population ages 05-09, female",ages 05-09,female,1991,YR1991,1802960
"Population ages 05-09, female",ages 05-09,female,1992,YR1992,1830408
"Population ages 05-09, female",ages 05-09,female,1993,YR1993,1849761
"Population ages 05-09, female",ages 05-09,female,1994,YR1994,1863702
"Population ages 05-09, female",ages 05-09,female,1995,YR1995,1876134
"Population ages 05-09, female",ages 05-09,female,1996,YR1996,1885066
"Population ages 05-09, female",ages 05-09,female,1997,YR1997,1887240
"Population ages 05-09, female",ages 05-09,female,1998,YR1998,1882225
"Population ages 05-09, female",ages 05-09,female,1999,YR1999,1871180
"Population ages 05-09, female",ages 05-09,female,2000,YR2000,1856319
"Population ages 05-09, female",ages 05-09,female,2001,YR2001,1837892
"Population ages 05-09, female",ages 05-09,female,2002,YR2002,1814213
"Population ages 05-09, female",ages 05-09,female,2003,YR2003,1787009
"Population ages 05-09, female",ages 05-09,female,2004,YR2004,1760491
"Population ages 05-09, female",ages 05-09,female,2005,YR2005,1739116
"Population ages 05-09, female",ages 05-09,female,2006,YR2006,1726166
"Population ages 05-09, female",ages 05-09,female,2007,YR2007,1714120
"Population ages 05-09, female",ages 05-09,female,2008,YR2008,1703831
"Population ages 05-09, female",ages 05-09,female,2009,YR2009,1697327
"Population ages 05-09, female",ages 05-09,female,2010,YR2010,1698657
"Population ages 05-09, female",ages 05-09,female,2011,YR2011,1712456
"Population ages 05-09, female",ages 05-09,female,2012,YR2012,1742542
"Population ages 05-09, female",ages 05-09,female,2013,YR2013,1789607
"Population ages 05-09, female",ages 05-09,female,2014,YR2014,1846525
"Population ages 05-09, female",ages 05-09,female,2015,YR2015,1898700
"Population ages 05-09, female",ages 05-09,female,2016,YR2016,1940352
"Population ages 05-09, female",ages 05-09,female,2017,YR2017,1968554
"Population ages 05-09, female",ages 05-09,female,2018,YR2018,1983172
"Population ages 05-09, female",ages 05-09,female,2019,YR2019,1988333
"Population ages 05-09, female",ages 05-09,female,2020,YR2020,1991147
"Population ages 05-09, female",ages 05-09,female,2021,YR2021,1991000
"Population ages 05-09, male",ages 05-09,male,1960,YR1960,1928378
"Population ages 05-09, male",ages 05-09,male,1961,YR1961,1902596
"Population ages 05-09, male",ages 05-09,male,1962,YR1962,1916887
"Population ages 05-09, male",ages 05-09,male,1963,YR1963,1967594
"Population ages 05-09, male",ages 05-09,male,1964,YR1964,2038602
"Population ages 05-09, male",ages 05-09,male,1965,YR1965,2105093
"Population ages 05-09, male",ages 05-09,male,1966,YR1966,2163902
"Population ages 05-09, male",ages 05-09,male,1967,YR1967,2230698
"Population ages 05-09, male",ages 05-09,male,1968,YR1968,2300556
"Population ages 05-09, male",ages 05-09,male,1969,YR1969,2365134
"Population ages 05-09, male",ages 05-09,male,1970,YR1970,2414972
"Population ages 05-09, male",ages 05-09,male,1971,YR1971,2454321
"Population ages 05-09, male",ages 05-09,male,1972,YR1972,2467137
"Population ages 05-09, male",ages 05-09,male,1973,YR1973,2449494
"Population ages 05-09, male",ages 05-09,male,1974,YR1974,2407980
"Population ages 05-09, male",ages 05-09,male,1975,YR1975,2356215
"Population ages 05-09, male",ages 05-09,male,1976,YR1976,2302446
"Population ages 05-09, male",ages 05-09,male,1977,YR1977,2233738
"Population ages 05-09, male",ages 05-09,male,1978,YR1978,2153725
"Population ages 05-09, male",ages 05-09,male,1979,YR1979,2069130
"Population ages 05-09, male",ages 05-09,male,1980,YR1980,1987115
"Population ages 05-09, male",ages 05-09,male,1981,YR1981,1913780
"Population ages 05-09, male",ages 05-09,male,1982,YR1982,1848399
"Population ages 05-09, male",ages 05-09,male,1983,YR1983,1796354
"Population ages 05-09, male",ages 05-09,male,1984,YR1984,1759121
"Population ages 05-09, male",ages 05-09,male,1985,YR1985,1734329
"Population ages 05-09, male",ages 05-09,male,1986,YR1986,1723692
"Population ages 05-09, male",ages 05-09,male,1987,YR1987,1734880
"Population ages 05-09, male",ages 05-09,male,1988,YR1988,1766789
"Population ages 05-09, male",ages 05-09,male,1989,YR1989,1810697
"Population ages 05-09, male",ages 05-09,male,1990,YR1990,1852298
"Population ages 05-09, male",ages 05-09,male,1991,YR1991,1886161
"Population ages 05-09, male",ages 05-09,male,1992,YR1992,1914002
"Population ages 05-09, male",ages 05-09,male,1993,YR1993,1933934
"Population ages 05-09, male",ages 05-09,male,1994,YR1994,1948730
"Population ages 05-09, male",ages 05-09,male,1995,YR1995,1962576
"Population ages 05-09, male",ages 05-09,male,1996,YR1996,1972838
"Population ages 05-09, male",ages 05-09,male,1997,YR1997,1976931
"Population ages 05-09, male",ages 05-09,male,1998,YR1998,1974004
"Population ages 05-09, male",ages 05-09,male,1999,YR1999,1964837
"Population ages 05-09, male",ages 05-09,male,2000,YR2000,1951275
"Population ages 05-09, male",ages 05-09,male,2001,YR2001,1931802
"Population ages 05-09, male",ages 05-09,male,2002,YR2002,1906538
"Population ages 05-09, male",ages 05-09,male,2003,YR2003,1877264
"Population ages 05-09, male",ages 05-09,male,2004,YR2004,1848139
"Population ages 05-09, male",ages 05-09,male,2005,YR2005,1823588
"Population ages 05-09, male",ages 05-09,male,2006,YR2006,1809265
"Population ages 05-09, male",ages 05-09,male,2007,YR2007,1796795
"Population ages 05-09, male",ages 05-09,male,2008,YR2008,1786701
"Population ages 05-09, male",ages 05-09,male,2009,YR2009,1780555
"Population ages 05-09, male",ages 05-09,male,2010,YR2010,1781835
"Population ages 05-09, male",ages 05-09,male,2011,YR2011,1794943
"Population ages 05-09, male",ages 05-09,male,2012,YR2012,1825500
"Population ages 05-09, male",ages 05-09,male,2013,YR2013,1874032
"Population ages 05-09, male",ages 05-09,male,2014,YR2014,1933009
"Population ages 05-09, male",ages 05-09,male,2015,YR2015,1987206
"Population ages 05-09, male",ages 05-09,male,2016,YR2016,2030476
"Population ages 05-09, male",ages 05-09,male,2017,YR2017,2060487
"Population ages 05-09, male",ages 05-09,male,2018,YR2018,2076882
"Population ages 05-09, male",ages 05-09,male,2019,YR2019,2083633
"Population ages 05-09, male",ages 05-09,male,2020,YR2020,2087718
"Population ages 05-09, male",ages 05-09,male,2021,YR2021,2088000
"Population ages 10-14, female",ages 10-14,female,1960,YR1960,2082733
"Population ages 10-14, female",ages 10-14,female,1961,YR1961,2063010
"Population ages 10-14, female",ages 10-14,female,1962,YR1962,2013160
"Population ages 10-14, female",ages 10-14,female,1963,YR1963,1941782
"Population ages 10-14, female",ages 10-14,female,1964,YR1964,1874913
"Population ages 10-14, female",ages 10-14,female,1965,YR1965,1837007
"Population ages 10-14, female",ages 10-14,female,1966,YR1966,1827671
"Population ages 10-14, female",ages 10-14,female,1967,YR1967,1841891
"Population ages 10-14, female",ages 10-14,female,1968,YR1968,1873277
"Population ages 10-14, female",ages 10-14,female,1969,YR1969,1914239
"Population ages 10-14, female",ages 10-14,female,1970,YR1970,1963447
"Population ages 10-14, female",ages 10-14,female,1971,YR1971,2034376
"Population ages 10-14, female",ages 10-14,female,1972,YR1972,2112364
"Population ages 10-14, female",ages 10-14,female,1973,YR1973,2189104
"Population ages 10-14, female",ages 10-14,female,1974,YR1974,2252457
"Population ages 10-14, female",ages 10-14,female,1975,YR1975,2292036
"Population ages 10-14, female",ages 10-14,female,1976,YR1976,2317224
"Population ages 10-14, female",ages 10-14,female,1977,YR1977,2320022
"Population ages 10-14, female",ages 10-14,female,1978,YR1978,2304030
"Population ages 10-14, female",ages 10-14,female,1979,YR1979,2274130
"Population ages 10-14, female",ages 10-14,female,1980,YR1980,2230572
"Population ages 10-14, female",ages 10-14,female,1981,YR1981,2174037
"Population ages 10-14, female",ages 10-14,female,1982,YR1982,2103042
"Population ages 10-14, female",ages 10-14,female,1983,YR1983,2025384
"Population ages 10-14, female",ages 10-14,female,1984,YR1984,1948767
"Population ages 10-14, female",ages 10-14,female,1985,YR1985,1877663
"Population ages 10-14, female",ages 10-14,female,1986,YR1986,1813932
"Population ages 10-14, female",ages 10-14,female,1987,YR1987,1758110
"Population ages 10-14, female",ages 10-14,female,1988,YR1988,1711289
"Population ages 10-14, female",ages 10-14,female,1989,YR1989,1677068
"Population ages 10-14, female",ages 10-14,female,1990,YR1990,1660409
"Population ages 10-14, female",ages 10-14,female,1991,YR1991,1662658
"Population ages 10-14, female",ages 10-14,female,1992,YR1992,1680782
"Population ages 10-14, female",ages 10-14,female,1993,YR1993,1711133
"Population ages 10-14, female",ages 10-14,female,1994,YR1994,1746040
"Population ages 10-14, female",ages 10-14,female,1995,YR1995,1777862
"Population ages 10-14, female",ages 10-14,female,1996,YR1996,1802368
"Population ages 10-14, female",ages 10-14,female,1997,YR1997,1823585
"Population ages 10-14, female",ages 10-14,female,1998,YR1998,1844071
"Population ages 10-14, female",ages 10-14,female,1999,YR1999,1863561
"Population ages 10-14, female",ages 10-14,female,2000,YR2000,1878866
"Population ages 10-14, female",ages 10-14,female,2001,YR2001,1891853
"Population ages 10-14, female",ages 10-14,female,2002,YR2002,1894008
"Population ages 10-14, female",ages 10-14,female,2003,YR2003,1888471
"Population ages 10-14, female",ages 10-14,female,2004,YR2004,1878226
"Population ages 10-14, female",ages 10-14,female,2005,YR2005,1863636
"Population ages 10-14, female",ages 10-14,female,2006,YR2006,1854052
"Population ages 10-14, female",ages 10-14,female,2007,YR2007,1838013
"Population ages 10-14, female",ages 10-14,female,2008,YR2008,1819141
"Population ages 10-14, female",ages 10-14,female,2009,YR2009,1798979
"Population ages 10-14, female",ages 10-14,female,2010,YR2010,1778633
"Population ages 10-14, female",ages 10-14,female,2011,YR2011,1763462
"Population ages 10-14, female",ages 10-14,female,2012,YR2012,1743987
"Population ages 10-14, female",ages 10-14,female,2013,YR2013,1722986
"Population ages 10-14, female",ages 10-14,female,2014,YR2014,1709251
"Population ages 10-14, female",ages 10-14,female,2015,YR2015,1711492
"Population ages 10-14, female",ages 10-14,female,2016,YR2016,1743130
"Population ages 10-14, female",ages 10-14,female,2017,YR2017,1785893
"Population ages 10-14, female",ages 10-14,female,2018,YR2018,1834526
"Population ages 10-14, female",ages 10-14,female,2019,YR2019,1879780
"Population ages 10-14, female",ages 10-14,female,2020,YR2020,1914862
"Population ages 10-14, female",ages 10-14,female,2021,YR2021,1949000
"Population ages 10-14, male",ages 10-14,male,1960,YR1960,2183048
"Population ages 10-14, male",ages 10-14,male,1961,YR1961,2165198
"Population ages 10-14, male",ages 10-14,male,1962,YR1962,2115562
"Population ages 10-14, male",ages 10-14,male,1963,YR1963,2043087
"Population ages 10-14, male",ages 10-14,male,1964,YR1964,1975872
"Population ages 10-14, male",ages 10-14,male,1965,YR1965,1940622
"Population ages 10-14, male",ages 10-14,male,1966,YR1966,1934070
"Population ages 10-14, male",ages 10-14,male,1967,YR1967,1953959
"Population ages 10-14, male",ages 10-14,male,1968,YR1968,1992632
"Population ages 10-14, male",ages 10-14,male,1969,YR1969,2040548
"Population ages 10-14, male",ages 10-14,male,1970,YR1970,2094546
"Population ages 10-14, male",ages 10-14,male,1971,YR1971,2158457
"Population ages 10-14, male",ages 10-14,male,1972,YR1972,2230884
"Population ages 10-14, male",ages 10-14,male,1973,YR1973,2305749
"Population ages 10-14, male",ages 10-14,male,1974,YR1974,2371363
"Population ages 10-14, male",ages 10-14,male,1975,YR1975,2416056
"Population ages 10-14, male",ages 10-14,male,1976,YR1976,2441639
"Population ages 10-14, male",ages 10-14,male,1977,YR1977,2444010
"Population ages 10-14, male",ages 10-14,male,1978,YR1978,2427283
"Population ages 10-14, male",ages 10-14,male,1979,YR1979,2396808
"Population ages 10-14, male",ages 10-14,male,1980,YR1980,2352684
"Population ages 10-14, male",ages 10-14,male,1981,YR1981,2290507
"Population ages 10-14, male",ages 10-14,male,1982,YR1982,2214170
"Population ages 10-14, male",ages 10-14,male,1983,YR1983,2131442
"Population ages 10-14, male",ages 10-14,male,1984,YR1984,2050502
"Population ages 10-14, male",ages 10-14,male,1985,YR1985,1976247
"Population ages 10-14, male",ages 10-14,male,1986,YR1986,1909255
"Population ages 10-14, male",ages 10-14,male,1987,YR1987,1850952
"Population ages 10-14, male",ages 10-14,male,1988,YR1988,1801219
"Population ages 10-14, male",ages 10-14,male,1989,YR1989,1763794
"Population ages 10-14, male",ages 10-14,male,1990,YR1990,1744622
"Population ages 10-14, male",ages 10-14,male,1991,YR1991,1740104
"Population ages 10-14, male",ages 10-14,male,1992,YR1992,1754883
"Population ages 10-14, male",ages 10-14,male,1993,YR1993,1785055
"Population ages 10-14, male",ages 10-14,male,1994,YR1994,1822056
"Population ages 10-14, male",ages 10-14,male,1995,YR1995,1857204
"Population ages 10-14, male",ages 10-14,male,1996,YR1996,1882090
"Population ages 10-14, male",ages 10-14,male,1997,YR1997,1905124
"Population ages 10-14, male",ages 10-14,male,1998,YR1998,1928691
"Population ages 10-14, male",ages 10-14,male,1999,YR1999,1952568
"Population ages 10-14, male",ages 10-14,male,2000,YR2000,1973397
"Population ages 10-14, male",ages 10-14,male,2001,YR2001,1991352
"Population ages 10-14, male",ages 10-14,male,2002,YR2002,1997355
"Population ages 10-14, male",ages 10-14,male,2003,YR2003,1993835
"Population ages 10-14, male",ages 10-14,male,2004,YR2004,1983764
"Population ages 10-14, male",ages 10-14,male,2005,YR2005,1967866
"Population ages 10-14, male",ages 10-14,male,2006,YR2006,1951834
"Population ages 10-14, male",ages 10-14,male,2007,YR2007,1931672
"Population ages 10-14, male",ages 10-14,male,2008,YR2008,1909808
"Population ages 10-14, male",ages 10-14,male,2009,YR2009,1887630
"Population ages 10-14, male",ages 10-14,male,2010,YR2010,1866677
"Population ages 10-14, male",ages 10-14,male,2011,YR2011,1848706
"Population ages 10-14, male",ages 10-14,male,2012,YR2012,1827224
"Population ages 10-14, male",ages 10-14,male,2013,YR2013,1805062
"Population ages 10-14, male",ages 10-14,male,2014,YR2014,1790951
"Population ages 10-14, male",ages 10-14,male,2015,YR2015,1793537
"Population ages 10-14, male",ages 10-14,male,2016,YR2016,1824762
"Population ages 10-14, male",ages 10-14,male,2017,YR2017,1867936
"Population ages 10-14, male",ages 10-14,male,2018,YR2018,1917793
"Population ages 10-14, male",ages 10-14,male,2019,YR2019,1964934
"Population ages 10-14, male",ages 10-14,male,2020,YR2020,2002389
"Population ages 10-14, male",ages 10-14,male,2021,YR2021,2039000
"Population ages 15-19, female",ages 15-19,female,1960,YR1960,1801284
"Population ages 15-19, female",ages 15-19,female,1961,YR1961,1857692
"Population ages 15-19, female",ages 15-19,female,1962,YR1962,1933022
"Population ages 15-19, female",ages 15-19,female,1963,YR1963,2008261
"Population ages 15-19, female",ages 15-19,female,1964,YR1964,2058816
"Population ages 15-19, female",ages 15-19,female,1965,YR1965,2073018
"Population ages 15-19, female",ages 15-19,female,1966,YR1966,2062607
"Population ages 15-19, female",ages 15-19,female,1967,YR1967,2018144
"Population ages 15-19, female",ages 15-19,female,1968,YR1968,1952689
"Population ages 15-19, female",ages 15-19,female,1969,YR1969,1892499
"Population ages 15-19, female",ages 15-19,female,1970,YR1970,1856806
"Population ages 15-19, female",ages 15-19,female,1971,YR1971,1847877
"Population ages 15-19, female",ages 15-19,female,1972,YR1972,1861513
"Population ages 15-19, female",ages 15-19,female,1973,YR1973,1893680
"Population ages 15-19, female",ages 15-19,female,1974,YR1974,1938254
"Population ages 15-19, female",ages 15-19,female,1975,YR1975,1990622
"Population ages 15-19, female",ages 15-19,female,1976,YR1976,2053706
"Population ages 15-19, female",ages 15-19,female,1977,YR1977,2128192
"Population ages 15-19, female",ages 15-19,female,1978,YR1978,2205287
"Population ages 15-19, female",ages 15-19,female,1979,YR1979,2272288
"Population ages 15-19, female",ages 15-19,female,1980,YR1980,2318678
"Population ages 15-19, female",ages 15-19,female,1981,YR1981,2344927
"Population ages 15-19, female",ages 15-19,female,1982,YR1982,2346387
"Population ages 15-19, female",ages 15-19,female,1983,YR1983,2326285
"Population ages 15-19, female",ages 15-19,female,1984,YR1984,2290836
"Population ages 15-19, female",ages 15-19,female,1985,YR1985,2243945
"Population ages 15-19, female",ages 15-19,female,1986,YR1986,2184182
"Population ages 15-19, female",ages 15-19,female,1987,YR1987,2115059
"Population ages 15-19, female",ages 15-19,female,1988,YR1988,2039996
"Population ages 15-19, female",ages 15-19,female,1989,YR1989,1964851
"Population ages 15-19, female",ages 15-19,female,1990,YR1990,1894664
"Population ages 15-19, female",ages 15-19,female,1991,YR1991,1836080
"Population ages 15-19, female",ages 15-19,female,1992,YR1992,1780998
"Population ages 15-19, female",ages 15-19,female,1993,YR1993,1732577
"Population ages 15-19, female",ages 15-19,female,1994,YR1994,1696924
"Population ages 15-19, female",ages 15-19,female,1995,YR1995,1677827
"Population ages 15-19, female",ages 15-19,female,1996,YR1996,1684281
"Population ages 15-19, female",ages 15-19,female,1997,YR1997,1703723
"Population ages 15-19, female",ages 15-19,female,1998,YR1998,1730099
"Population ages 15-19, female",ages 15-19,female,1999,YR1999,1755835
"Population ages 15-19, female",ages 15-19,female,2000,YR2000,1777627
"Population ages 15-19, female",ages 15-19,female,2001,YR2001,1824711
"Population ages 15-19, female",ages 15-19,female,2002,YR2002,1865958
"Population ages 15-19, female",ages 15-19,female,2003,YR2003,1896722
"Population ages 15-19, female",ages 15-19,female,2004,YR2004,1916626
"Population ages 15-19, female",ages 15-19,female,2005,YR2005,1927446
"Population ages 15-19, female",ages 15-19,female,2006,YR2006,1955751
"Population ages 15-19, female",ages 15-19,female,2007,YR2007,1971366
"Population ages 15-19, female",ages 15-19,female,2008,YR2008,1972199
"Population ages 15-19, female",ages 15-19,female,2009,YR2009,1959730
"Population ages 15-19, female",ages 15-19,female,2010,YR2010,1939532
"Population ages 15-19, female",ages 15-19,female,2011,YR2011,1926812
"Population ages 15-19, female",ages 15-19,female,2012,YR2012,1912778
"Population ages 15-19, female",ages 15-19,female,2013,YR2013,1896013
"Population ages 15-19, female",ages 15-19,female,2014,YR2014,1875722
"Population ages 15-19, female",ages 15-19,female,2015,YR2015,1851307
"Population ages 15-19, female",ages 15-19,female,2016,YR2016,1837390
"Population ages 15-19, female",ages 15-19,female,2017,YR2017,1818215
"Population ages 15-19, female",ages 15-19,female,2018,YR2018,1798232
"Population ages 15-19, female",ages 15-19,female,2019,YR2019,1786159
"Population ages 15-19, female",ages 15-19,female,2020,YR2020,1787684
"Population ages 15-19, female",ages 15-19,female,2021,YR2021,1806000
"Population ages 15-19, male",ages 15-19,male,1960,YR1960,1831575
"Population ages 15-19, male",ages 15-19,male,1961,YR1961,1898161
"Population ages 15-19, male",ages 15-19,male,1962,YR1962,1984936
"Population ages 15-19, male",ages 15-19,male,1963,YR1963,2073240
"Population ages 15-19, male",ages 15-19,male,1964,YR1964,2135784
"Population ages 15-19, male",ages 15-19,male,1965,YR1965,2158331
"Population ages 15-19, male",ages 15-19,male,1966,YR1966,2146732
"Population ages 15-19, male",ages 15-19,male,1967,YR1967,2097494
"Population ages 15-19, male",ages 15-19,male,1968,YR1968,2029083
"Population ages 15-19, male",ages 15-19,male,1969,YR1969,1971128
"Population ages 15-19, male",ages 15-19,male,1970,YR1970,1942605
"Population ages 15-19, male",ages 15-19,male,1971,YR1971,1939395
"Population ages 15-19, male",ages 15-19,male,1972,YR1972,1956653
"Population ages 15-19, male",ages 15-19,male,1973,YR1973,1989664
"Population ages 15-19, male",ages 15-19,male,1974,YR1974,2032634
"Population ages 15-19, male",ages 15-19,male,1975,YR1975,2082904
"Population ages 15-19, male",ages 15-19,male,1976,YR1976,2148232
"Population ages 15-19, male",ages 15-19,male,1977,YR1977,2225987
"Population ages 15-19, male",ages 15-19,male,1978,YR1978,2307110
"Population ages 15-19, male",ages 15-19,male,1979,YR1979,2378179
"Population ages 15-19, male",ages 15-19,male,1980,YR1980,2428065
"Population ages 15-19, male",ages 15-19,male,1981,YR1981,2448784
"Population ages 15-19, male",ages 15-19,male,1982,YR1982,2445074
"Population ages 15-19, male",ages 15-19,male,1983,YR1983,2421692
"Population ages 15-19, male",ages 15-19,male,1984,YR1984,2385059
"Population ages 15-19, male",ages 15-19,male,1985,YR1985,2338206
"Population ages 15-19, male",ages 15-19,male,1986,YR1986,2272176
"Population ages 15-19, male",ages 15-19,male,1987,YR1987,2198862
"Population ages 15-19, male",ages 15-19,male,1988,YR1988,2123030
"Population ages 15-19, male",ages 15-19,male,1989,YR1989,2049985
"Population ages 15-19, male",ages 15-19,male,1990,YR1990,1982802
"Population ages 15-19, male",ages 15-19,male,1991,YR1991,1915843
"Population ages 15-19, male",ages 15-19,male,1992,YR1992,1850756
"Population ages 15-19, male",ages 15-19,male,1993,YR1993,1792707
"Population ages 15-19, male",ages 15-19,male,1994,YR1994,1750183
"Population ages 15-19, male",ages 15-19,male,1995,YR1995,1728236
"Population ages 15-19, male",ages 15-19,male,1996,YR1996,1729936
"Population ages 15-19, male",ages 15-19,male,1997,YR1997,1748923
"Population ages 15-19, male",ages 15-19,male,1998,YR1998,1779083
"Population ages 15-19, male",ages 15-19,male,1999,YR1999,1811636
